G_tx_db,G_rx_db,angle_deg,modulation_qam,received_power,file_name
26,26,-15,64,9.663666708694822e-09,AngularComm_64QAM_300GHz_26-26_-15deg_000.mat
26,26,-18,64,1.0777391078734298e-08,AngularComm_64QAM_300GHz_26-26_-18deg_000.mat
26,26,-21,64,4.285442564965819e-09,AngularComm_64QAM_300GHz_26-26_-21deg_000.mat
26,26,-24,64,2.3859400021822502e-09,AngularComm_64QAM_300GHz_26-26_-24deg_000.mat
26,26,-27,64,1.892891971085616e-09,AngularComm_64QAM_300GHz_26-26_-27deg_000.mat
26,26,-30,64,1.3944167079549867e-09,AngularComm_64QAM_300GHz_26-26_-30deg_000.mat
26,26,-3,64,4.1050140925947717e-07,AngularComm_64QAM_300GHz_26-26_-3deg_000.mat
26,26,-6,64,1.9909883634337526e-07,AngularComm_64QAM_300GHz_26-26_-6deg_000.mat
26,26,-9,64,8.45641052504712e-08,AngularComm_64QAM_300GHz_26-26_-9deg_000.mat
26,26,0,64,4.157526807819696e-07,AngularComm_64QAM_300GHz_26-26_0deg_000.mat
26,26,12,64,2.2735772937517505e-09,AngularComm_64QAM_300GHz_26-26_12deg_000.mat
26,26,15,64,1.8361343314632453e-09,AngularComm_64QAM_300GHz_26-26_15deg_000.mat
26,26,18,64,1.093371067802557e-08,AngularComm_64QAM_300GHz_26-26_18deg_000.mat
26,26,21,64,1.4530500075140212e-08,AngularComm_64QAM_300GHz_26-26_21deg_000.mat
26,26,24,64,6.9430822592549395e-09,AngularComm_64QAM_300GHz_26-26_24deg_000.mat
26,26,27,64,4.1933603659517105e-09,AngularComm_64QAM_300GHz_26-26_27deg_000.mat
26,26,30,64,2.289536747711032e-09,AngularComm_64QAM_300GHz_26-26_30deg_000.mat
26,26,3,64,2.440469405171494e-07,AngularComm_64QAM_300GHz_26-26_3deg_000.mat
26,26,6,64,6.761183130238824e-08,AngularComm_64QAM_300GHz_26-26_6deg_000.mat
26,26,9,64,1.9194906009617762e-08,AngularComm_64QAM_300GHz_26-26_9deg_000.mat
26,46,-12,16,9.715468756856824e-09,AngularComm_16QAM_300GHz_26-46_-12deg_000.mat
26,46,-15,16,1.1482959655506431e-08,AngularComm_16QAM_300GHz_26-46_-15deg_000.mat
26,46,-18,16,8.684954297609772e-09,AngularComm_16QAM_300GHz_26-46_-18deg_000.mat
26,46,-21,16,5.695045095979694e-09,AngularComm_16QAM_300GHz_26-46_-21deg_000.mat
26,46,-24,16,6.7352273388421865e-09,AngularComm_16QAM_300GHz_26-46_-24deg_000.mat
26,46,-27,16,6.11998716403828e-09,AngularComm_16QAM_300GHz_26-46_-27deg_000.mat
26,46,-30,16,6.330745852746684e-09,AngularComm_16QAM_300GHz_26-46_-30deg_000.mat
26,46,-3,16,2.1320150436246338e-07,AngularComm_16QAM_300GHz_26-46_-3deg_000.mat
26,46,-6,16,4.384496859117191e-09,AngularComm_16QAM_300GHz_26-46_-6deg_000.mat
26,46,-9,16,5.952223652617967e-09,AngularComm_16QAM_300GHz_26-46_-9deg_000.mat
26,46,0,16,7.144308891579101e-06,AngularComm_16QAM_300GHz_26-46_0deg_000.mat
26,46,12,16,3.0327505390842445e-08,AngularComm_16QAM_300GHz_26-46_12deg_000.mat
26,46,15,16,6.9705960184858285e-09,AngularComm_16QAM_300GHz_26-46_15deg_000.mat
26,46,18,16,3.522681107389055e-09,AngularComm_16QAM_300GHz_26-46_18deg_000.mat
26,46,21,16,2.092423735726592e-09,AngularComm_16QAM_300GHz_26-46_21deg_000.mat
26,46,24,16,1.963587488340585e-09,AngularComm_16QAM_300GHz_26-46_24deg_000.mat
26,46,27,16,1.6015758432908198e-09,AngularComm_16QAM_300GHz_26-46_27deg_000.mat
26,46,30,16,1.8270175976391097e-09,AngularComm_16QAM_300GHz_26-46_30deg_000.mat
26,46,3,16,4.8775382577012616e-08,AngularComm_16QAM_300GHz_26-46_3deg_000.mat
26,46,6,16,1.1445156957499643e-08,AngularComm_16QAM_300GHz_26-46_6deg_000.mat
26,46,9,16,1.1827614284018708e-08,AngularComm_16QAM_300GHz_26-46_9deg_000.mat
26,46,-12,2,4.427374821066215e-09,AngularComm_2QAM_300GHz_26-46_-12deg_000.mat
26,46,-15,2,3.946753454819241e-09,AngularComm_2QAM_300GHz_26-46_-15deg_000.mat
26,46,-18,2,4.979253244712254e-09,AngularComm_2QAM_300GHz_26-46_-18deg_000.mat
26,46,-21,2,7.414013722405517e-09,AngularComm_2QAM_300GHz_26-46_-21deg_000.mat
26,46,-24,2,8.177495542692623e-09,AngularComm_2QAM_300GHz_26-46_-24deg_000.mat
26,46,-27,2,8.325402659956937e-09,AngularComm_2QAM_300GHz_26-46_-27deg_000.mat
26,46,-30,2,8.299547289635881e-09,AngularComm_2QAM_300GHz_26-46_-30deg_000.mat
26,46,-3,2,3.4620149113810827e-07,AngularComm_2QAM_300GHz_26-46_-3deg_000.mat
26,46,-6,2,6.529786449989056e-09,AngularComm_2QAM_300GHz_26-46_-6deg_000.mat
26,46,-9,2,4.351863459626804e-09,AngularComm_2QAM_300GHz_26-46_-9deg_000.mat
26,46,0,2,1.4639904692176984e-05,AngularComm_2QAM_300GHz_26-46_0deg_000.mat
26,46,12,2,2.749942600840378e-09,AngularComm_2QAM_300GHz_26-46_12deg_000.mat
26,46,15,2,2.6163926829984125e-09,AngularComm_2QAM_300GHz_26-46_15deg_000.mat
26,46,18,2,2.0914241366322128e-09,AngularComm_2QAM_300GHz_26-46_18deg_000.mat
26,46,21,2,1.6023528336895022e-09,AngularComm_2QAM_300GHz_26-46_21deg_000.mat
26,46,24,2,1.4132281915000117e-09,AngularComm_2QAM_300GHz_26-46_24deg_000.mat
26,46,27,2,1.7630381222378423e-09,AngularComm_2QAM_300GHz_26-46_27deg_000.mat
26,46,30,2,1.4097235567522605e-09,AngularComm_2QAM_300GHz_26-46_30deg_000.mat
26,46,3,2,2.2522762274925262e-08,AngularComm_2QAM_300GHz_26-46_3deg_000.mat
26,46,6,2,1.7275789441772433e-08,AngularComm_2QAM_300GHz_26-46_6deg_000.mat
26,46,9,2,4.119603668175893e-09,AngularComm_2QAM_300GHz_26-46_9deg_000.mat
26,46,-12,4,3.1675475759281144e-09,AngularComm_4QAM_300GHz_26-46_-12deg_000.mat
26,46,-15,4,4.0034654225513405e-09,AngularComm_4QAM_300GHz_26-46_-15deg_000.mat
26,46,-18,4,3.3985565269008057e-09,AngularComm_4QAM_300GHz_26-46_-18deg_000.mat
26,46,-21,4,4.11410764028672e-09,AngularComm_4QAM_300GHz_26-46_-21deg_000.mat
26,46,-24,4,3.206052504885166e-09,AngularComm_4QAM_300GHz_26-46_-24deg_000.mat
26,46,-27,4,3.5667209832653683e-09,AngularComm_4QAM_300GHz_26-46_-27deg_000.mat
26,46,-30,4,3.6195060732884335e-09,AngularComm_4QAM_300GHz_26-46_-30deg_000.mat
26,46,-3,4,8.825922008231917e-07,AngularComm_4QAM_300GHz_26-46_-3deg_000.mat
26,46,-6,4,6.717466594029173e-09,AngularComm_4QAM_300GHz_26-46_-6deg_000.mat
26,46,-9,4,3.887448357407625e-09,AngularComm_4QAM_300GHz_26-46_-9deg_000.mat
26,46,0,4,9.658164663376264e-07,AngularComm_4QAM_300GHz_26-46_0deg_000.mat
26,46,12,4,9.478686945299419e-09,AngularComm_4QAM_300GHz_26-46_12deg_000.mat
26,46,15,4,2.655504211023456e-08,AngularComm_4QAM_300GHz_26-46_15deg_000.mat
26,46,18,4,1.2207290280053004e-08,AngularComm_4QAM_300GHz_26-46_18deg_000.mat
26,46,21,4,4.013826553880861e-09,AngularComm_4QAM_300GHz_26-46_21deg_000.mat
26,46,24,4,3.6839699722151373e-09,AngularComm_4QAM_300GHz_26-46_24deg_000.mat
26,46,27,4,2.9192887973531285e-09,AngularComm_4QAM_300GHz_26-46_27deg_000.mat
26,46,30,4,2.0937985011479032e-09,AngularComm_4QAM_300GHz_26-46_30deg_000.mat
26,46,3,4,3.1379789440417345e-08,AngularComm_4QAM_300GHz_26-46_3deg_000.mat
26,46,6,4,5.837876865797578e-08,AngularComm_4QAM_300GHz_26-46_6deg_000.mat
26,46,9,4,2.6018070579601067e-09,AngularComm_4QAM_300GHz_26-46_9deg_000.mat
26,46,-12,64,5.464953305426807e-09,AngularComm_64QAM_300GHz_26-46_-12deg_000.mat
26,46,-15,64,5.488826834658688e-09,AngularComm_64QAM_300GHz_26-46_-15deg_000.mat
26,46,-18,64,1.505847582547999e-09,AngularComm_64QAM_300GHz_26-46_-18deg_000.mat
26,46,-21,64,1.8087960551807395e-09,AngularComm_64QAM_300GHz_26-46_-21deg_000.mat
26,46,-24,64,1.6162534213797005e-09,AngularComm_64QAM_300GHz_26-46_-24deg_000.mat
26,46,-27,64,1.4346683275824079e-09,AngularComm_64QAM_300GHz_26-46_-27deg_000.mat
26,46,-30,64,1.5978614525248532e-09,AngularComm_64QAM_300GHz_26-46_-30deg_000.mat
26,46,-3,64,2.2356326539776382e-07,AngularComm_64QAM_300GHz_26-46_-3deg_000.mat
26,46,-6,64,9.026055880306587e-09,AngularComm_64QAM_300GHz_26-46_-6deg_000.mat
26,46,-9,64,4.9832300802540444e-09,AngularComm_64QAM_300GHz_26-46_-9deg_000.mat
26,46,0,64,7.893536168614563e-06,AngularComm_64QAM_300GHz_26-46_0deg_000.mat
26,46,12,64,3.544094337696444e-08,AngularComm_64QAM_300GHz_26-46_12deg_000.mat
26,46,15,64,1.589322937930761e-08,AngularComm_64QAM_300GHz_26-46_15deg_000.mat
26,46,18,64,3.5137731846532525e-09,AngularComm_64QAM_300GHz_26-46_18deg_000.mat
26,46,21,64,1.3990320347264989e-09,AngularComm_64QAM_300GHz_26-46_21deg_000.mat
26,46,24,64,1.7080271699436543e-09,AngularComm_64QAM_300GHz_26-46_24deg_000.mat
26,46,27,64,1.4591318721004692e-09,AngularComm_64QAM_300GHz_26-46_27deg_000.mat
26,46,30,64,1.3656549968907177e-09,AngularComm_64QAM_300GHz_26-46_30deg_000.mat
26,46,3,64,2.537413154595706e-08,AngularComm_64QAM_300GHz_26-46_3deg_000.mat
26,46,6,64,1.7896103403735362e-08,AngularComm_64QAM_300GHz_26-46_6deg_000.mat
26,46,9,64,8.182543935208494e-09,AngularComm_64QAM_300GHz_26-46_9deg_000.mat
46,26,-12,16,3.536818685285485e-07,AngularComm_16QAM_300GHz_46-26_-12deg_000.mat
46,26,-15,16,3.4362144451100975e-08,AngularComm_16QAM_300GHz_46-26_-15deg_000.mat
46,26,-18,16,1.7478957784153903e-08,AngularComm_16QAM_300GHz_46-26_-18deg_000.mat
46,26,-21,16,4.913040755434764e-09,AngularComm_16QAM_300GHz_46-26_-21deg_000.mat
46,26,-24,16,9.29188838937701e-09,AngularComm_16QAM_300GHz_46-26_-24deg_000.mat
46,26,-27,16,5.076829249377549e-09,AngularComm_16QAM_300GHz_46-26_-27deg_000.mat
46,26,-30,16,3.4029853375447228e-09,AngularComm_16QAM_300GHz_46-26_-30deg_000.mat
46,26,-3,16,5.680042365047213e-06,AngularComm_16QAM_300GHz_46-26_-3deg_000.mat
46,26,-6,16,4.822268816185114e-06,AngularComm_16QAM_300GHz_46-26_-6deg_000.mat
46,26,-9,16,1.6612865240203528e-06,AngularComm_16QAM_300GHz_46-26_-9deg_000.mat
46,26,0,16,8.350654932007122e-06,AngularComm_16QAM_300GHz_46-26_0deg_000.mat
46,26,12,16,3.755764185266917e-08,AngularComm_16QAM_300GHz_46-26_12deg_000.mat
46,26,15,16,1.2589538468624218e-08,AngularComm_16QAM_300GHz_46-26_15deg_000.mat
46,26,18,16,8.62678758844966e-09,AngularComm_16QAM_300GHz_46-26_18deg_000.mat
46,26,21,16,1.3281367576689918e-08,AngularComm_16QAM_300GHz_46-26_21deg_000.mat
46,26,24,16,2.544760984510408e-09,AngularComm_16QAM_300GHz_46-26_24deg_000.mat
46,26,27,16,2.5742443254969334e-09,AngularComm_16QAM_300GHz_46-26_27deg_000.mat
46,26,30,16,1.9446511079940482e-09,AngularComm_16QAM_300GHz_46-26_30deg_000.mat
46,26,3,16,7.879846396725522e-06,AngularComm_16QAM_300GHz_46-26_3deg_000.mat
46,26,6,16,2.8781237914126177e-06,AngularComm_16QAM_300GHz_46-26_6deg_000.mat
46,26,9,16,4.88018857850508e-07,AngularComm_16QAM_300GHz_46-26_9deg_000.mat
46,26,-12,2,4.888293361271732e-07,AngularComm_2QAM_300GHz_46-26_-12deg_000.mat
46,26,-15,2,5.4942040584300323e-08,AngularComm_2QAM_300GHz_46-26_-15deg_000.mat
46,26,-18,2,1.907332010733018e-08,AngularComm_2QAM_300GHz_46-26_-18deg_000.mat
46,26,-21,2,9.762433523917096e-09,AngularComm_2QAM_300GHz_46-26_-21deg_000.mat
46,26,-24,2,4.627349546551398e-09,AngularComm_2QAM_300GHz_46-26_-24deg_000.mat
46,26,-27,2,7.077598984480382e-09,AngularComm_2QAM_300GHz_46-26_-27deg_000.mat
46,26,-30,2,5.445998725134743e-09,AngularComm_2QAM_300GHz_46-26_-30deg_000.mat
46,26,-3,2,1.0447105181537234e-05,AngularComm_2QAM_300GHz_46-26_-3deg_000.mat
46,26,-6,2,6.4425897709341375e-06,AngularComm_2QAM_300GHz_46-26_-6deg_000.mat
46,26,-9,2,2.0673956756947114e-06,AngularComm_2QAM_300GHz_46-26_-9deg_000.mat
46,26,0,2,3.48390878635669e-06,AngularComm_2QAM_300GHz_46-26_0deg_000.mat
46,26,0,2,1.0124721650134395e-05,AngularComm_2QAM_300GHz_46-26_0deg_001.mat
46,26,12,2,9.863066810919898e-08,AngularComm_2QAM_300GHz_46-26_12deg_000.mat
46,26,15,2,1.937198799708837e-08,AngularComm_2QAM_300GHz_46-26_15deg_000.mat
46,26,18,2,6.826764965737051e-09,AngularComm_2QAM_300GHz_46-26_18deg_000.mat
46,26,21,2,4.202260919200197e-09,AngularComm_2QAM_300GHz_46-26_21deg_000.mat
46,26,24,2,4.171183916864058e-09,AngularComm_2QAM_300GHz_46-26_24deg_000.mat
46,26,27,2,5.6228466305662965e-09,AngularComm_2QAM_300GHz_46-26_27deg_000.mat
46,26,30,2,4.308947191801757e-09,AngularComm_2QAM_300GHz_46-26_30deg_000.mat
46,26,3,2,1.1974188375600723e-05,AngularComm_2QAM_300GHz_46-26_3deg_000.mat
46,26,6,2,2.1644344067410908e-06,AngularComm_2QAM_300GHz_46-26_6deg_000.mat
46,26,9,2,4.667606127807585e-07,AngularComm_2QAM_300GHz_46-26_9deg_000.mat
46,26,-12,4,9.237477703979971e-08,AngularComm_4QAM_300GHz_46-26_-12deg_000.mat
46,26,-15,4,1.4885790361565625e-08,AngularComm_4QAM_300GHz_46-26_-15deg_000.mat
46,26,-18,4,4.721092014903123e-09,AngularComm_4QAM_300GHz_46-26_-18deg_000.mat
46,26,-21,4,6.482421440615627e-09,AngularComm_4QAM_300GHz_46-26_-21deg_000.mat
46,26,-24,4,4.323197533213497e-09,AngularComm_4QAM_300GHz_46-26_-24deg_000.mat
46,26,-27,4,4.1537678302894895e-09,AngularComm_4QAM_300GHz_46-26_-27deg_000.mat
46,26,-30,4,4.322550014423494e-09,AngularComm_4QAM_300GHz_46-26_-30deg_000.mat
46,26,-3,4,8.600175798566194e-06,AngularComm_4QAM_300GHz_46-26_-3deg_000.mat
46,26,-6,4,2.9859060508962517e-06,AngularComm_4QAM_300GHz_46-26_-6deg_000.mat
46,26,-9,4,8.104554073146192e-07,AngularComm_4QAM_300GHz_46-26_-9deg_000.mat
46,26,0,4,1.5501610149331558e-05,AngularComm_4QAM_300GHz_46-26_0deg_000.mat
46,26,12,4,6.97763149694165e-08,AngularComm_4QAM_300GHz_46-26_12deg_000.mat
46,26,15,4,8.088794301874308e-09,AngularComm_4QAM_300GHz_46-26_15deg_000.mat
46,26,18,4,5.819454150274701e-09,AngularComm_4QAM_300GHz_46-26_18deg_000.mat
46,26,21,4,5.3378149679561895e-09,AngularComm_4QAM_300GHz_46-26_21deg_000.mat
46,26,24,4,3.4749303392996046e-09,AngularComm_4QAM_300GHz_46-26_24deg_000.mat
46,26,27,4,9.59022364393692e-09,AngularComm_4QAM_300GHz_46-26_27deg_000.mat
46,26,30,4,2.7122757764694177e-09,AngularComm_4QAM_300GHz_46-26_30deg_000.mat
46,26,3,4,9.2570914487518e-06,AngularComm_4QAM_300GHz_46-26_3deg_000.mat
46,26,6,4,3.7588450840053104e-06,AngularComm_4QAM_300GHz_46-26_6deg_000.mat
46,26,9,4,7.63995461011577e-07,AngularComm_4QAM_300GHz_46-26_9deg_000.mat
46,26,-12,64,2.0762377212826514e-07,AngularComm_64QAM_300GHz_46-26_-12deg_000.mat
46,26,-15,64,1.4271903111257405e-08,AngularComm_64QAM_300GHz_46-26_-15deg_000.mat
46,26,-18,64,2.0689082383457338e-08,AngularComm_64QAM_300GHz_46-26_-18deg_000.mat
46,26,-21,64,1.453580907800171e-08,AngularComm_64QAM_300GHz_46-26_-21deg_000.mat
46,26,-24,64,8.83544113672032e-09,AngularComm_64QAM_300GHz_46-26_-24deg_000.mat
46,26,-27,64,1.28126413852336e-08,AngularComm_64QAM_300GHz_46-26_-27deg_000.mat
46,26,-30,64,6.826757315738284e-09,AngularComm_64QAM_300GHz_46-26_-30deg_000.mat
46,26,-3,64,5.064324527186195e-06,AngularComm_64QAM_300GHz_46-26_-3deg_000.mat
46,26,-6,64,4.252915333574821e-06,AngularComm_64QAM_300GHz_46-26_-6deg_000.mat
46,26,-9,64,1.135524672556433e-06,AngularComm_64QAM_300GHz_46-26_-9deg_000.mat
46,26,0,64,9.422705056532647e-06,AngularComm_64QAM_300GHz_46-26_0deg_000.mat
46,26,12,64,1.877074199904769e-08,AngularComm_64QAM_300GHz_46-26_12deg_000.mat
46,26,15,64,5.472755224775428e-09,AngularComm_64QAM_300GHz_46-26_15deg_000.mat
46,26,18,64,4.9884917563088504e-09,AngularComm_64QAM_300GHz_46-26_18deg_000.mat
46,26,21,64,2.729505353396675e-09,AngularComm_64QAM_300GHz_46-26_21deg_000.mat
46,26,24,64,2.0637593305146577e-09,AngularComm_64QAM_300GHz_46-26_24deg_000.mat
46,26,27,64,3.077289055827558e-09,AngularComm_64QAM_300GHz_46-26_27deg_000.mat
46,26,30,64,3.0515639357480658e-09,AngularComm_64QAM_300GHz_46-26_30deg_000.mat
46,26,3,64,6.6839084157437e-06,AngularComm_64QAM_300GHz_46-26_3deg_000.mat
46,26,6,64,2.2772212908630405e-06,AngularComm_64QAM_300GHz_46-26_6deg_000.mat
46,26,9,64,2.1019951993588212e-07,AngularComm_64QAM_300GHz_46-26_9deg_000.mat
46,46,-12,16,4.2770630685216876e-09,AngularComm_16QAM_300GHz_46-46_-12deg_000.mat
46,46,-15,16,4.44624431551418e-09,AngularComm_16QAM_300GHz_46-46_-15deg_000.mat
46,46,-18,16,2.030894385047017e-09,AngularComm_16QAM_300GHz_46-46_-18deg_000.mat
46,46,-21,16,2.6222405559880055e-09,AngularComm_16QAM_300GHz_46-46_-21deg_000.mat
46,46,-24,16,1.9310590446662073e-09,AngularComm_16QAM_300GHz_46-46_-24deg_000.mat
46,46,-27,16,1.504891950399774e-09,AngularComm_16QAM_300GHz_46-46_-27deg_000.mat
46,46,-30,16,1.2493269648362107e-09,AngularComm_16QAM_300GHz_46-46_-30deg_000.mat
46,46,-3,16,2.148432156660885e-07,AngularComm_16QAM_300GHz_46-46_-3deg_000.mat
46,46,-6,16,4.553333995069341e-09,AngularComm_16QAM_300GHz_46-46_-6deg_000.mat
